Star Name,Size (in miles),Type (OBAFGKM Scale),Luminosity (Absolute Magnitude),Color,Composition,Image
33    Psc,--,K0III-IV,4.61,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\33____Psc.jpg
86    Peg,--,G5III,5.537,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\86____Peg.jpg
10    Cas,--,B9IIIe,5.59,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\10____Cas.jpg
87    Peg,13700000.0,G9III,5.555,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\87____Peg.jpg
Eps Phe,--,K0III,3.87,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Eps_Phe.jpg
34    Psc,--,B9Vn,5.53,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\34____Psc.jpg
22    And,--,F5II,5.04,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\22____And.jpg
6    Cet,--,F8VFe-0.8CH-0.5,4.89,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\6____Cet.jpg
23    And,--,F0IV,Unknown,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\23____And.jpg
7    Cet,--,M1III,4.46,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\7____Cet.jpg
35    Psc,--,F0,6.01,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\35____Psc.jpg
36    Psc,--,G8II-III,6.121,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\36____Psc.jpg
26    And,--,B8V,6.11,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\26____And.jpg
Zet Tuc,--,F9.5V,4.23,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Zet_Tuc.jpg
41    Psc,--,K2.5III,5.37,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\41____Psc.jpg
Pi  Tuc,--,B9V,5.499,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Pi__Tuc.jpg
Iot Scl,17100000.0,K0III,5.167,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Iot_Scl.jpg
42    Psc,--,K3III,6.24,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\42____Psc.jpg
9    Cet,--,G2.5V,6.39,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\9____Cet.jpg
12    Cas,--,B9III,5.377,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\12____Cas.jpg
47    Tuc,--,,4.09,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\47____Tuc.jpg
44    Psc,--,G8III,5.77,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\44____Psc.jpg
Bet Hyi,--,G0V,2.79,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Bet_Hyi.jpg
Alp Phe,--,K0.5IIIb,2.38,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Alp_Phe.jpg
Kap Phe,--,A5IVn,3.94,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Kap_Phe.jpg
10    Cet,--,G6IIIFe-1,6.192,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\10____Cet.jpg
47    Psc,--,M3III,5.06,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\47____Psc.jpg
Eta Scl,--,M2/3III,4.81,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Eta_Scl.jpg
48    Psc,--,K5III,6.039,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\48____Psc.jpg
28    And,--,A7III,5.214,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\28____And.jpg
12    Cet,--,K5III,5.72,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\12____Cet.jpg
13    Cas,--,B6V,6.165,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\13____Cas.jpg
52    Psc,--,K0III,5.37,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\52____Psc.jpg
51    Psc,--,B9.5V,5.679,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\51____Psc.jpg
16    Cas,--,B8V,6.473,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\16____Cas.jpg
13    Cet,--,F7V+G4V,5.21,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\13____Cet.jpg
